Ride_ID,Date,City,Pickup_Area,Drop_Area,Distance_km,Ride_Time_min,Fare_INR,Driver_Rating,Rider_Rating,Payment_Mode,Ride_Status
R10651,2025-03-03,Mumbai,Gachibowli,Kukatpally,8.42,44,181.76,4.39,4.81,Card,Completed
R10652,2025-06-12,Chennai,Madhapur,Mehdipatnam,2.61,10,52.12,4.3,4.04,Card,Completed
R10653,2025-06-24,Mumbai,Hitech City,Madhapur,14.1,59,184.2,4.48,4.7,UPI,Completed
R10654,2025-03-16,Hyderabad,Kukatpally,Secunderabad,3.83,21,99.99,4.3,4.49,Card,Cancelled
R10655,2025-05-08,Hyderabad,LB Nagar,Banjara Hills,2.94,8,80.56,4.67,4.93,Cash,Completed
R10656,2025-06-02,Pune,Somajiguda,Mehdipatnam,7.01,34,129.38,4.89,4.46,Cash,Completed
R10657,2025-05-03,Pune,Hitech City,LB Nagar,2.04,6,44.68,4.49,3.85,Card,Completed
R10658,2025-06-12,Mumbai,Madhapur,Gachibowli,5.37,22,77.41,4.15,3.93,UPI,Completed
R10659,2025-02-28,Chennai,Kukatpally,Secunderabad,4.43,17,101.11,4.21,4.43,Cash,Completed
R10660,2025-05-03,Delhi,Kondapur,Hitech City,7.24,40,91.13,4.72,4.92,UPI,Completed
R10661,2025-02-13,Bangalore,Madhapur,Somajiguda,13.16,68,247.69,3.84,4.47,Card,Completed
R10662,2025-06-06,Hyderabad,Begumpet,Hitech City,14.73,54,183.38,4.27,4.88,UPI,Cancelled
R10663,2025-05-03,Delhi,Begumpet,Hitech City,9.7,42,187.41,3.99,4.98,Card,Completed
R10664,2025-03-13,Pune,Kondapur,Kukatpally,3.45,12,92.36,4.2,4.52,Card,Completed
R10665,2025-05-08,Bangalore,Gachibowli,Jubilee Hills,1.95,7,59.86,4.9,3.95,UPI,Cancelled
R10666,2025-01-27,Delhi,Begumpet,Hitech City,13.95,44,222.77,4.57,4.57,Cash,Completed
R10667,2025-03-25,Bangalore,LB Nagar,Kukatpally,14.09,43,285.39,4.63,4.63,UPI,Completed
R10668,2025-06-09,Mumbai,Somajiguda,Uppal,8.71,31,111.5,4.32,4.74,Card,Cancelled
R10669,2025-06-22,Pune,Uppal,Hitech City,13.11,55,235.39,4.25,4.2,Cash,Completed
R10670,2025-03-10,Pune,Kondapur,Mehdipatnam,2.43,8,57.55,4.71,4.66,UPI,Completed
R10671,2025-03-27,Hyderabad,Miyapur,Begumpet,3.58,11,84.98,4.83,4.16,Card,Completed
R10672,2025-04-23,Delhi,Secunderabad,Kondapur,10.27,49,199.35,4.56,4.55,UPI,Cancelled
R10673,2025-01-27,Hyderabad,Miyapur,Jubilee Hills,5.27,29,86.72,4.61,4.1,UPI,Completed
R10674,2025-03-20,Pune,Begumpet,Madhapur,10.33,45,169.57,3.87,4.66,UPI,Cancelled
R10675,2025-01-02,Delhi,Uppal,Madhapur,4.92,15,107.0,4.29,4.8,Cash,Cancelled
R10676,2025-06-11,Mumbai,Begumpet,Secunderabad,8.74,52,183.72,4.87,3.82,Cash,Cancelled
R10677,2025-05-06,Pune,LB Nagar,Mehdipatnam,10.38,49,126.7,4.15,4.86,Card,Completed
R10678,2025-03-31,Chennai,LB Nagar,Kondapur,9.72,48,131.43,4.38,4.94,UPI,Completed
R10679,2025-01-31,Delhi,Mehdipatnam,Uppal,8.77,31,126.07,4.82,4.73,Cash,Cancelled
R10680,2025-03-19,Bangalore,Begumpet,Hitech City,9.26,52,188.24,4.57,4.08,Cash,Completed
R10681,2025-01-11,Pune,Hitech City,Somajiguda,6.21,28,136.01,4.75,3.84,Card,Completed
R10682,2025-04-18,Bangalore,Banjara Hills,Begumpet,9.27,52,161.67,4.65,4.49,Cash,Completed
R10683,2025-03-15,Pune,Kondapur,Begumpet,4.08,13,80.35,4.84,4.22,UPI,Completed
R10684,2025-02-08,Delhi,Begumpet,Kukatpally,2.47,12,72.44,4.74,4.74,Cash,Completed
R10685,2025-06-07,Hyderabad,Miyapur,Uppal,13.01,57,282.28,3.96,4.06,UPI,Completed
R10686,2025-05-07,Pune,Ameerpet,Kondapur,6.34,28,136.53,4.78,3.82,Cash,Completed
R10687,2025-03-10,Mumbai,Secunderabad,Begumpet,10.64,51,170.34,4.95,4.34,Cash,Completed
R10688,2025-06-17,Pune,Madhapur,Ameerpet,12.56,46,153.97,4.66,4.1,Card,Cancelled
R10689,2025-03-22,Pune,Miyapur,Kukatpally,6.68,38,138.15,4.59,4.74,UPI,Completed
R10690,2025-06-15,Chennai,Madhapur,Gachibowli,10.35,35,195.19,4.55,4.86,UPI,Completed
R10691,2025-06-20,Chennai,Begumpet,Miyapur,4.79,22,108.66,4.65,4.0,Card,Completed
R10692,2025-03-31,Chennai,Begumpet,Secunderabad,7.57,41,138.58,4.69,4.19,UPI,Completed
R10693,2025-04-01,Pune,Hitech City,LB Nagar,6.59,22,87.36,4.87,3.95,Card,Completed
R10694,2025-03-10,Chennai,Madhapur,Miyapur,6.83,33,147.1,4.85,4.52,UPI,Completed
R10695,2025-04-21,Bangalore,Kukatpally,Somajiguda,11.77,63,185.07,4.5,4.94,UPI,Completed
R10696,2025-04-08,Delhi,Ameerpet,Somajiguda,5.81,33,101.9,3.93,4.9,UPI,Completed
R10697,2025-01-18,Mumbai,Hitech City,LB Nagar,5.77,18,111.88,4.29,4.67,Card,Cancelled
R10698,2025-04-06,Chennai,Kukatpally,Somajiguda,8.31,32,112.16,4.97,4.22,Card,Cancelled
R10699,2025-03-03,Bangalore,Madhapur,Mehdipatnam,1.63,8,47.46,4.04,4.96,UPI,Completed
R10700,2025-03-10,Bangalore,Jubilee Hills,Uppal,1.75,8,58.08,4.19,4.2,Card,Completed
R10701,2025-03-23,Hyderabad,Hitech City,Madhapur,2.24,7,59.78,4.22,4.52,UPI,Completed
R10702,2025-04-13,Pune,Jubilee Hills,Uppal,1.66,9,43.42,4.15,4.98,UPI,Completed
R10703,2025-01-05,Bangalore,LB Nagar,Mehdipatnam,4.67,27,69.0,4.27,4.26,UPI,Completed
R10704,2025-05-28,Delhi,Gachibowli,Mehdipatnam,3.9,17,66.8,4.65,4.81,Card,Completed
R10705,2025-01-02,Mumbai,Mehdipatnam,Hitech City,9.79,30,219.82,4.82,4.93,Card,Completed
R10706,2025-05-21,Mumbai,Kondapur,Gachibowli,9.96,52,169.13,4.9,4.0,Card,Completed
R10707,2025-04-18,Mumbai,Miyapur,Kukatpally,13.84,75,283.61,4.68,3.86,Cash,Completed
R10708,2025-05-31,Bangalore,Begumpet,Madhapur,1.47,4,48.94,4.51,3.95,Cash,Completed
R10709,2025-03-11,Pune,Hitech City,Secunderabad,9.58,32,155.01,3.97,3.91,Card,Completed
R10710,2025-06-15,Bangalore,Jubilee Hills,Ameerpet,5.27,20,90.98,4.79,3.99,Cash,Completed
R10711,2025-06-24,Chennai,Hitech City,Secunderabad,12.43,58,219.74,4.01,4.84,Cash,Completed
R10712,2025-01-08,Chennai,Mehdipatnam,Begumpet,4.75,25,71.83,4.51,4.0,Cash,Completed
R10713,2025-02-27,Delhi,LB Nagar,Banjara Hills,9.55,49,128.28,4.95,4.86,UPI,Completed
R10714,2025-06-14,Chennai,Hitech City,Jubilee Hills,9.11,42,162.24,4.95,4.93,Cash,Completed
R10715,2025-02-09,Mumbai,Madhapur,Banjara Hills,1.33,5,38.0,3.89,3.82,Cash,Completed
R10716,2025-06-08,Chennai,Secunderabad,Somajiguda,12.86,63,141.94,4.91,3.87,UPI,Completed
R10717,2025-04-08,Pune,Kukatpally,LB Nagar,6.62,19,144.67,3.96,3.93,Card,Completed
R10718,2025-05-04,Hyderabad,Jubilee Hills,Secunderabad,10.55,61,157.59,4.43,3.81,Cash,Completed
R10719,2025-02-08,Bangalore,Somajiguda,Kukatpally,5.83,18,119.55,4.79,4.01,Cash,Completed
R10720,2025-02-20,Chennai,Banjara Hills,Begumpet,3.42,12,61.03,4.64,4.61,Card,Completed
R10721,2025-06-27,Pune,Gachibowli,Secunderabad,8.74,49,124.82,3.82,4.52,Card,Completed
R10722,2025-04-28,Pune,Somajiguda,Gachibowli,11.8,67,256.07,4.98,4.38,UPI,Completed
R10723,2025-05-20,Chennai,Kondapur,Begumpet,5.47,16,90.24,4.47,4.22,Card,Completed
R10724,2025-03-08,Pune,LB Nagar,Secunderabad,6.78,33,110.58,4.49,4.77,Cash,Cancelled
R10725,2025-02-09,Chennai,Hitech City,Secunderabad,3.46,20,84.04,4.94,4.46,UPI,Completed
R10726,2025-01-27,Pune,Hitech City,Begumpet,2.93,15,68.42,4.46,4.21,Cash,Completed
R10727,2025-06-27,Pune,Banjara Hills,Madhapur,7.11,37,152.91,3.91,4.12,Card,Completed
R10728,2025-04-15,Hyderabad,LB Nagar,Secunderabad,3.23,18,66.32,3.88,4.17,UPI,Completed
R10729,2025-02-09,Delhi,Gachibowli,LB Nagar,7.89,26,175.19,4.35,4.8,Cash,Completed
R10730,2025-03-05,Delhi,Gachibowli,Kukatpally,5.18,24,89.35,4.82,4.69,Card,Completed
R10731,2025-01-22,Hyderabad,Jubilee Hills,LB Nagar,12.28,55,256.87,4.95,4.35,Cash,Completed
R10732,2025-05-05,Pune,Kukatpally,Madhapur,5.56,22,128.83,4.15,5.0,Cash,Completed
R10733,2025-02-17,Delhi,Somajiguda,Jubilee Hills,3.97,20,91.62,4.86,4.51,UPI,Cancelled
R10734,2025-01-22,Pune,Madhapur,LB Nagar,13.39,58,244.59,4.05,4.19,Cash,Completed
R10735,2025-02-10,Delhi,Hitech City,Secunderabad,14.75,58,288.7,4.66,4.75,Card,Completed
R10736,2025-06-02,Bangalore,Hitech City,Uppal,3.97,16,69.14,4.43,4.33,Card,Completed
R10737,2025-02-16,Chennai,Secunderabad,Banjara Hills,13.64,68,220.73,3.81,4.17,UPI,Completed
R10738,2025-06-08,Mumbai,Begumpet,Kondapur,12.72,72,242.69,4.34,4.42,Card,Completed
R10739,2025-01-08,Bangalore,Uppal,Jubilee Hills,4.34,13,105.21,4.66,4.06,UPI,Completed
R10740,2025-04-11,Mumbai,Secunderabad,Hitech City,14.12,66,246.08,4.04,4.13,Card,Completed
R10741,2025-04-12,Delhi,Banjara Hills,LB Nagar,3.25,16,71.8,4.29,4.37,UPI,Completed
R10742,2025-02-27,Pune,Uppal,Kukatpally,13.05,68,274.47,4.87,3.99,Card,Completed
R10743,2025-02-03,Hyderabad,Hitech City,Gachibowli,3.9,12,84.44,4.94,4.65,Card,Cancelled
R10744,2025-02-24,Hyderabad,Kondapur,Hitech City,7.62,38,107.87,3.98,4.25,Cash,Completed
R10745,2025-01-05,Pune,Miyapur,Kondapur,7.57,43,121.74,4.51,4.49,UPI,Completed
R10746,2025-04-29,Pune,Uppal,Kukatpally,4.88,22,106.11,4.43,4.0,Card,Completed
R10747,2025-03-09,Mumbai,Gachibowli,LB Nagar,12.09,71,165.97,3.84,4.91,Card,Completed
R10748,2025-06-02,Delhi,Begumpet,Jubilee Hills,13.7,47,286.25,3.82,4.5,Card,Completed
R10749,2025-03-14,Pune,Ameerpet,Kukatpally,6.82,30,92.92,4.03,4.33,Card,Completed
R10750,2025-05-10,Mumbai,Miyapur,Ameerpet,4.39,14,71.94,4.58,4.71,UPI,Completed
R10751,2025-01-01,Hyderabad,Gachibowli,Miyapur,8.55,35,185.27,4.89,3.89,Card,Completed
R10752,2025-01-25,Bangalore,Secunderabad,Miyapur,5.61,26,76.75,4.42,4.26,UPI,Cancelled
R10753,2025-02-22,Mumbai,Jubilee Hills,Mehdipatnam,14.44,76,185.74,4.3,3.98,UPI,Cancelled
R10754,2025-06-15,Pune,Jubilee Hills,Madhapur,10.69,61,153.53,4.34,4.79,Cash,Completed
R10755,2025-06-23,Pune,Banjara Hills,Gachibowli,3.81,17,69.54,4.91,3.97,UPI,Completed
R10756,2025-01-12,Delhi,LB Nagar,Miyapur,9.9,45,177.13,4.18,4.78,UPI,Cancelled
R10757,2025-06-14,Bangalore,Jubilee Hills,Ameerpet,15.0,84,238.63,3.97,4.96,Cash,Completed
R10758,2025-01-17,Delhi,Madhapur,Gachibowli,4.24,19,85.53,4.41,4.33,UPI,Cancelled
R10759,2025-03-03,Mumbai,Somajiguda,Hitech City,2.17,12,46.11,4.55,3.92,Cash,Cancelled
R10760,2025-05-26,Hyderabad,Secunderabad,Ameerpet,1.77,6,53.75,4.93,4.93,Cash,Completed
R10761,2025-06-08,Pune,Secunderabad,Jubilee Hills,2.54,12,50.79,4.82,4.59,UPI,Completed
R10762,2025-01-27,Hyderabad,Hitech City,Ameerpet,3.52,14,93.59,4.58,3.95,Cash,Completed
R10763,2025-06-27,Mumbai,Somajiguda,Gachibowli,10.18,36,222.58,4.85,4.94,Card,Cancelled
R10764,2025-01-21,Hyderabad,LB Nagar,Ameerpet,2.33,9,60.37,4.3,4.13,Card,Completed
R10765,2025-01-08,Chennai,Gachibowli,Somajiguda,3.4,14,69.37,4.08,4.03,UPI,Completed
R10766,2025-04-17,Mumbai,Mehdipatnam,Somajiguda,6.6,32,151.38,4.7,4.26,Cash,Cancelled
R10767,2025-02-17,Chennai,Kondapur,Begumpet,3.99,22,79.82,3.93,4.4,UPI,Cancelled
R10768,2025-05-19,Pune,Kondapur,Secunderabad,5.28,24,130.5,3.97,4.92,Cash,Completed
R10769,2025-04-21,Mumbai,Kukatpally,Begumpet,8.13,24,158.33,5.0,3.84,UPI,Completed
R10770,2025-06-09,Pune,Gachibowli,Banjara Hills,4.43,23,102.76,4.51,4.71,UPI,Completed
R10771,2025-02-26,Delhi,Secunderabad,Gachibowli,1.45,6,47.29,4.57,4.25,Cash,Completed
R10772,2025-04-14,Bangalore,LB Nagar,Uppal,11.12,60,206.3,4.79,4.77,UPI,Cancelled
R10773,2025-02-14,Hyderabad,Madhapur,Banjara Hills,6.19,27,115.36,4.15,4.41,Card,Completed
R10774,2025-02-12,Chennai,Somajiguda,Mehdipatnam,11.37,41,210.36,4.06,4.46,Cash,Completed
R10775,2025-01-16,Delhi,Secunderabad,Kukatpally,7.86,30,103.16,4.24,4.51,Card,Completed
R10776,2025-03-13,Chennai,Kondapur,Jubilee Hills,13.87,56,224.51,4.73,4.43,Card,Completed
R10777,2025-06-12,Chennai,Madhapur,Hitech City,5.14,25,113.47,3.99,4.5,UPI,Completed
R10778,2025-05-07,Pune,Miyapur,Begumpet,10.96,49,136.45,4.44,4.04,Cash,Completed
R10779,2025-04-21,Delhi,Banjara Hills,Secunderabad,11.67,56,175.41,4.93,3.85,Card,Cancelled
R10780,2025-04-30,Hyderabad,Gachibowli,Madhapur,12.46,39,181.54,4.0,4.06,Cash,Completed
R10781,2025-03-30,Chennai,Hitech City,Jubilee Hills,11.01,55,133.37,3.82,4.21,UPI,Completed
R10782,2025-06-15,Chennai,Secunderabad,Somajiguda,5.55,23,118.89,3.95,4.97,Card,Completed
R10783,2025-04-20,Chennai,Uppal,Jubilee Hills,11.32,46,233.01,3.84,4.52,Cash,Completed
R10784,2025-02-07,Chennai,Madhapur,Kondapur,2.04,11,50.67,4.76,4.08,Card,Completed
R10785,2025-05-01,Delhi,Uppal,Gachibowli,8.54,27,161.83,4.19,4.81,Cash,Completed
R10786,2025-05-03,Chennai,Secunderabad,Somajiguda,7.95,43,155.23,4.64,4.89,UPI,Completed
R10787,2025-01-01,Mumbai,Kukatpally,Ameerpet,13.47,55,164.82,4.82,4.17,UPI,Completed
R10788,2025-04-28,Chennai,Gachibowli,Somajiguda,4.21,16,93.4,4.54,4.42,UPI,Completed
R10789,2025-05-20,Chennai,Hitech City,Begumpet,7.16,41,164.67,4.77,4.94,Card,Completed
R10790,2025-01-03,Chennai,Ameerpet,Jubilee Hills,11.24,36,200.05,4.34,3.96,Cash,Completed
R10791,2025-01-29,Bangalore,Banjara Hills,Begumpet,1.92,10,47.78,4.73,4.48,Card,Completed
R10792,2025-05-19,Chennai,LB Nagar,Mehdipatnam,7.39,36,124.49,4.92,3.89,Card,Completed
R10793,2025-05-25,Bangalore,Kondapur,Hitech City,10.68,63,154.09,4.13,4.45,Cash,Completed
R10794,2025-02-08,Bangalore,Ameerpet,Mehdipatnam,14.38,53,259.76,4.75,4.63,Cash,Completed
R10795,2025-02-12,Hyderabad,Uppal,Begumpet,12.36,48,202.56,4.66,4.9,Cash,Completed
R10796,2025-04-26,Hyderabad,Mehdipatnam,Kukatpally,5.48,27,90.24,4.64,4.0,Card,Completed
R10797,2025-01-22,Mumbai,Begumpet,Miyapur,12.55,38,220.03,4.98,4.78,Card,Completed
R10798,2025-05-30,Hyderabad,Uppal,Madhapur,1.62,7,56.49,4.33,4.34,Card,Completed
R10799,2025-03-30,Pune,Miyapur,Somajiguda,12.29,38,210.87,4.87,3.92,Cash,Completed
R10800,2025-05-04,Bangalore,Banjara Hills,Jubilee Hills,14.08,76,286.25,4.16,3.83,Card,Completed
R10801,2025-05-06,Delhi,Hitech City,Miyapur,13.44,67,285.25,4.43,3.99,UPI,Completed
R10802,2025-01-20,Pune,Madhapur,Miyapur,3.16,9,60.41,4.01,4.44,Cash,Completed
R10803,2025-03-17,Bangalore,Kukatpally,Begumpet,11.15,66,127.79,4.41,4.13,UPI,Cancelled
R10804,2025-05-14,Chennai,Hitech City,Begumpet,3.03,17,59.5,4.16,4.83,Card,Completed
R10805,2025-02-02,Mumbai,Kondapur,Banjara Hills,2.48,10,71.56,4.82,4.41,UPI,Completed
R10806,2025-04-30,Bangalore,Mehdipatnam,Kukatpally,14.06,44,184.56,4.3,4.19,UPI,Completed
R10807,2025-06-20,Chennai,Kukatpally,Jubilee Hills,2.47,10,53.7,4.58,4.67,Card,Completed
R10808,2025-01-08,Hyderabad,Somajiguda,Gachibowli,13.96,46,238.15,3.85,4.09,UPI,Cancelled
R10809,2025-06-16,Chennai,Uppal,Secunderabad,3.24,15,70.12,3.88,4.15,UPI,Completed
R10810,2025-05-13,Delhi,LB Nagar,Banjara Hills,6.22,32,149.28,4.96,4.6,Card,Completed
R10811,2025-02-18,Bangalore,Begumpet,Uppal,13.47,46,183.7,4.22,3.85,Card,Completed
R10812,2025-06-22,Bangalore,Jubilee Hills,Somajiguda,11.36,56,183.75,3.85,4.07,UPI,Completed
R10813,2025-02-13,Mumbai,Jubilee Hills,Gachibowli,5.66,22,117.73,4.54,4.22,Cash,Completed
R10814,2025-05-23,Hyderabad,Kondapur,Ameerpet,6.48,28,142.49,3.87,4.03,UPI,Completed
R10815,2025-01-04,Delhi,Banjara Hills,Somajiguda,3.74,16,91.78,4.29,3.94,Card,Completed
R10816,2025-01-28,Mumbai,Somajiguda,Madhapur,13.69,73,258.07,3.86,4.53,UPI,Completed
R10817,2025-04-01,Mumbai,Secunderabad,Miyapur,12.55,72,195.13,3.94,4.79,UPI,Completed
R10818,2025-03-30,Pune,Banjara Hills,Gachibowli,13.36,57,234.39,3.93,3.81,Card,Completed
R10819,2025-02-28,Chennai,Secunderabad,Somajiguda,2.2,8,61.51,4.47,4.37,Card,Completed
R10820,2025-01-12,Chennai,LB Nagar,Kukatpally,3.01,17,79.05,4.25,4.17,Cash,Cancelled
R10821,2025-02-08,Delhi,Gachibowli,Miyapur,4.06,13,94.69,4.21,3.89,Cash,Completed
R10822,2025-05-01,Hyderabad,Banjara Hills,Madhapur,14.08,48,231.7,4.63,3.89,Card,Completed
R10823,2025-02-26,Hyderabad,Somajiguda,Uppal,7.19,35,116.03,4.26,3.9,UPI,Completed
R10824,2025-06-05,Chennai,Gachibowli,LB Nagar,5.02,27,100.91,3.85,3.88,UPI,Cancelled
R10825,2025-01-15,Pune,Somajiguda,Uppal,13.49,54,251.59,3.87,4.5,Card,Completed
R10826,2025-02-08,Pune,Gachibowli,Uppal,6.34,36,112.75,4.04,4.58,Cash,Completed
R10827,2025-06-10,Delhi,Uppal,Kondapur,6.09,20,133.92,4.61,4.31,Card,Completed
R10828,2025-04-01,Chennai,Ameerpet,Begumpet,5.11,26,88.47,4.33,4.32,Cash,Completed
R10829,2025-01-21,Hyderabad,Somajiguda,LB Nagar,8.33,30,154.24,4.28,4.9,Cash,Completed
R10830,2025-06-15,Mumbai,Madhapur,Uppal,10.01,31,144.17,4.81,4.05,UPI,Cancelled
R10831,2025-04-06,Hyderabad,Hitech City,Kukatpally,12.47,51,218.47,4.73,4.83,Card,Completed
R10832,2025-04-19,Mumbai,Begumpet,Miyapur,4.88,25,114.44,3.92,4.82,Card,Completed
R10833,2025-01-06,Hyderabad,Uppal,Mehdipatnam,1.82,10,60.05,4.42,4.09,UPI,Completed
R10834,2025-06-13,Hyderabad,Kukatpally,Uppal,14.08,60,169.91,3.96,4.99,Card,Cancelled
R10835,2025-03-16,Bangalore,Madhapur,Miyapur,3.16,10,85.5,4.31,4.88,Cash,Completed
R10836,2025-05-26,Hyderabad,Begumpet,Somajiguda,8.55,32,106.4,4.22,4.77,Cash,Completed
R10837,2025-05-29,Hyderabad,Madhapur,Secunderabad,5.79,23,92.45,4.67,3.88,Card,Completed
R10838,2025-02-09,Pune,Kukatpally,Begumpet,3.03,12,81.64,4.71,4.76,UPI,Completed
R10839,2025-02-08,Mumbai,Jubilee Hills,Begumpet,4.76,23,73.31,4.04,4.83,Cash,Completed
R10840,2025-03-22,Chennai,Hitech City,Banjara Hills,3.77,19,66.15,4.79,4.77,UPI,Completed
R10841,2025-03-05,Hyderabad,Kukatpally,Madhapur,14.26,57,209.99,4.19,4.36,Cash,Completed
R10842,2025-06-26,Mumbai,Hitech City,Gachibowli,2.03,9,65.45,4.36,4.44,Cash,Completed
R10843,2025-03-11,Delhi,Jubilee Hills,Hitech City,12.96,58,181.04,3.87,4.05,Cash,Cancelled
R10844,2025-02-07,Pune,LB Nagar,Secunderabad,10.46,58,145.03,3.94,4.26,Card,Completed
R10845,2025-06-09,Bangalore,Miyapur,Ameerpet,5.4,18,79.78,4.62,4.36,Card,Completed
R10846,2025-04-16,Hyderabad,Gachibowli,Banjara Hills,12.43,54,178.83,4.81,4.07,UPI,Cancelled
R10847,2025-04-01,Hyderabad,Miyapur,Hitech City,8.45,30,103.82,4.93,4.07,UPI,Completed
R10848,2025-01-07,Hyderabad,Madhapur,Hitech City,9.64,55,146.38,4.44,4.73,Card,Completed
R10849,2025-04-08,Bangalore,Hitech City,Ameerpet,12.93,66,278.38,4.39,4.16,Cash,Cancelled
R10850,2025-06-10,Bangalore,Madhapur,Gachibowli,8.33,49,132.24,4.27,4.82,Cash,Completed
R10851,2025-04-10,Delhi,Miyapur,Banjara Hills,6.55,22,132.0,3.91,4.72,Cash,Completed
R10852,2025-03-30,Hyderabad,Somajiguda,Hitech City,11.98,62,170.16,4.83,3.94,Cash,Completed
R10853,2025-06-30,Chennai,Madhapur,Ameerpet,6.73,28,122.17,4.1,4.41,UPI,Completed
R10854,2025-05-04,Mumbai,Madhapur,Uppal,10.0,39,175.66,4.79,4.74,UPI,Completed
R10855,2025-03-21,Delhi,Miyapur,Secunderabad,14.21,71,194.55,4.4,4.41,Cash,Completed
R10856,2025-01-16,Mumbai,Hitech City,Mehdipatnam,8.49,33,117.06,4.7,4.34,UPI,Completed
R10857,2025-04-15,Mumbai,LB Nagar,Mehdipatnam,6.08,35,121.01,3.98,4.07,Cash,Completed
R10858,2025-03-15,Chennai,Madhapur,Gachibowli,2.75,16,50.85,4.3,3.98,Card,Completed
R10859,2025-05-19,Pune,Madhapur,Somajiguda,13.24,63,204.2,3.99,4.92,Cash,Completed
R10860,2025-03-28,Pune,Madhapur,Mehdipatnam,8.08,25,169.47,4.94,4.42,UPI,Completed
R10861,2025-01-27,Pune,Madhapur,Banjara Hills,11.73,69,227.23,3.83,4.59,Card,Completed
R10862,2025-04-19,Pune,Mehdipatnam,Jubilee Hills,10.23,53,149.71,4.34,3.82,Card,Completed
R10863,2025-04-24,Chennai,Somajiguda,Hitech City,3.78,11,98.56,4.3,4.21,Card,Cancelled
R10864,2025-06-26,Chennai,Begumpet,Kukatpally,5.68,20,82.29,4.7,4.4,Cash,Completed
R10865,2025-02-28,Hyderabad,Miyapur,Hitech City,5.09,23,80.11,4.91,4.34,Cash,Completed
R10866,2025-02-11,Hyderabad,Jubilee Hills,Begumpet,10.58,45,131.16,4.3,4.77,Card,Completed
R10867,2025-03-04,Bangalore,Ameerpet,Madhapur,1.36,4,41.95,4.52,4.57,Card,Completed
R10868,2025-01-10,Mumbai,Mehdipatnam,Hitech City,13.31,41,234.69,4.13,4.52,Card,Completed
R10869,2025-02-19,Chennai,Secunderabad,Miyapur,10.29,51,124.18,4.95,4.52,Cash,Cancelled
R10870,2025-04-10,Hyderabad,Ameerpet,Somajiguda,14.77,73,310.85,4.63,4.5,Card,Cancelled
R10871,2025-04-29,Delhi,Gachibowli,Kondapur,8.28,48,147.68,4.05,4.51,Cash,Completed
R10872,2025-04-02,Hyderabad,LB Nagar,Hitech City,5.89,23,117.34,4.72,4.97,UPI,Completed
R10873,2025-03-17,Mumbai,Gachibowli,Uppal,6.27,31,81.99,4.62,4.16,Card,Completed
R10874,2025-02-22,Bangalore,Madhapur,Ameerpet,13.86,73,195.93,4.1,4.97,Card,Completed
R10875,2025-04-30,Delhi,Begumpet,Banjara Hills,8.74,27,190.56,4.87,4.59,UPI,Cancelled
R10876,2025-05-11,Mumbai,Jubilee Hills,LB Nagar,4.78,16,89.48,4.66,4.5,UPI,Completed
R10877,2025-04-22,Hyderabad,Miyapur,Kondapur,1.35,6,40.81,4.15,4.35,UPI,Completed
R10878,2025-01-06,Chennai,Jubilee Hills,Kondapur,6.98,21,161.85,3.84,4.28,UPI,Cancelled
R10879,2025-05-27,Chennai,Kukatpally,Secunderabad,10.43,52,158.43,4.49,4.22,Cash,Cancelled
R10880,2025-01-06,Hyderabad,Mehdipatnam,Ameerpet,8.76,36,117.5,4.47,4.27,Card,Completed
R10881,2025-03-07,Chennai,Gachibowli,Secunderabad,10.65,57,178.41,4.3,4.93,Cash,Completed
R10882,2025-05-30,Bangalore,Mehdipatnam,Jubilee Hills,12.54,45,157.4,3.88,4.66,Card,Completed
R10883,2025-04-14,Bangalore,LB Nagar,Mehdipatnam,2.17,10,48.43,4.29,4.64,UPI,Cancelled
R10884,2025-01-07,Delhi,Jubilee Hills,Somajiguda,5.31,18,108.77,4.24,4.51,UPI,Completed
R10885,2025-03-26,Hyderabad,Uppal,Kukatpally,9.63,52,205.55,4.25,4.51,UPI,Completed
R10886,2025-05-07,Pune,Kondapur,Mehdipatnam,6.37,33,151.62,4.76,4.22,Card,Cancelled
R10887,2025-04-27,Pune,Banjara Hills,Miyapur,9.28,32,124.07,4.61,4.99,Card,Completed
R10888,2025-05-07,Hyderabad,Jubilee Hills,LB Nagar,11.55,62,215.96,4.56,4.98,Cash,Cancelled
R10889,2025-01-31,Pune,Madhapur,Miyapur,7.65,27,146.83,4.39,4.97,Cash,Completed
R10890,2025-03-01,Bangalore,Secunderabad,Madhapur,3.57,16,78.38,4.15,5.0,Card,Completed
R10891,2025-02-05,Chennai,Hitech City,Begumpet,3.97,12,87.7,4.45,4.06,Card,Completed
R10892,2025-03-15,Delhi,Gachibowli,Begumpet,6.25,30,127.17,4.0,4.23,UPI,Completed
R10893,2025-04-16,Mumbai,Ameerpet,Uppal,6.47,29,95.95,4.17,4.99,Cash,Completed
R10894,2025-05-03,Chennai,Begumpet,Jubilee Hills,13.03,71,239.72,3.96,4.86,Card,Completed
R10895,2025-06-16,Delhi,Gachibowli,LB Nagar,3.27,16,64.0,4.13,4.64,Cash,Completed
R10896,2025-02-18,Chennai,Banjara Hills,LB Nagar,12.53,38,170.07,4.67,3.83,Cash,Completed
R10897,2025-01-09,Bangalore,Madhapur,Kukatpally,3.03,9,53.71,4.77,4.63,Card,Completed
R10898,2025-03-09,Pune,Madhapur,Somajiguda,6.41,23,101.44,4.44,4.62,Cash,Cancelled
